Symbol,Open
ABT,48.65
ABBV,66.7
ACN,95.96
MMM,158.28
ACE,106.09
ACT,307.88
ADBE,79.7
ADT,36.5
AES,13.56
AET,119.24
AFL,62.09
AMG,222.56
A,40.94
GAS,49.94
APD,147.14
ARG,102.4
AKAM,75.02
AA,12.42
ALXN,163.58
ATI,32.15
ALLE,62
ADS,297
ALL,66.92
ALTR,51.64
MO,51.04
AMZN,430.07
AEE,40
AAL,43.3
AEP,55.63
AXP,79.26
AIG,58.9
AMT,94.01
AMP,124.59
ABC,112.55
AME,53.49
AMGN,156.88
APC,84.48
ADI,68.69
AON,100.75
APA,59.5
AIV,38.46
AAPL,129.86
AMAT,20.27
ADM,52.94
AIZ,65.62
T,34.37
ADSK,54.18
ADP,84.77
AN,62.42
AZO,674.18
AVGO,146.41
AVB,167.61
AVY,61.61
BHI,64.48
BLL,71.36
BAC,16.52
BK,42.87
BCR,171.8
BAX,66.15
BBT,39.2
BDX,140.01
BBBY,71.31
BBY,34.3
BIIB,391.36
BLK,362.8
HRB,31.69
BA,141.44
BWA,60.55
BXP,131.01
BSX,18.45
BMY,66.55
BRCM,55.11
CHRW,61.65
CA,30.06
CVC,24.49
COG,34.21
CAM,51.53
CPB,48.2
COF,83.44
CAH,88.02
HSIC,142.02
KMX,71.37
CCL,46.72
CAT,85.21
CBG,38.23
CBS,61.5
CELG,113.86
CNP,20.22
CTL,32.83
CERN,67.27
CF,316.82
SCHW,31.35
CHK,13.91
CVX,102.65
CMG,613.1
CB,96.88
CI,143
XEC,115.62
CINF,50.31
CTAS,85.81
CSCO,29.09
C,54.4
CTXS,65.37
CLX,107.83
CME,93.59
CMS,33.92
COH,35.84
KO,40.84
CCE,44.25
CTSH,64.98
CL,66.87
CMCSA,58.36
CMA,48.23
CSC,67.84
CAG,38.82
COP,63.7
CNX,27.95
ED,61.51
STZ,119.18
GLW,20.86
COST,141.97
CCI,81.93
CSX,34.17
CMI,135.01
CVS,102.05
DHI,26.34
DHR,86.45
DRI,65.65
DVA,83.84
DE,92.73
DLPH,86.38
DAL,42.99
XRAY,51.99
DVN,64.84
DO,30.41
DTV,90.82
DFS,58.11
DISCA,33.92
DISCK,31.4
DG,76.37
DLTR,76.59
D,70.15
DOV,74.85
DOW,51.9
DPS,76.46
DTE,78.87
DD,71.51
DUK,75.63
DNB,128.19
ETFC,29.32
EMN,76.52
ETN,71.53
EBAY,62.1
ECL,114.23
EIX,60.38
EW,131.45
EA,62.5
EMC,26.51
EMR,60.07
ENDP,83.79
ESV,23.6
ETR,75.91
EOG,89.02
EQT,84.88
EFX,99.35
EQIX,266.68
EQR,74.69
ESS,225.37
EL,87.25
ES,48.89
EXC,33.77
EXPE,107.09
EXPD,46.23
ESRX,85.49
XOM,85.12
FFIV,125.08
FB,79.76
FDO,77.84
FAST,41.44
FDX,174.54
FIS,62.41
FITB,20.03
FSLR,49.8
FE,35.43
FISV,79.97
FLIR,30.5
FLS,54.75
FLR,56.19
FMC,56.5
FTI,42.04
F,15.44
FOSL,71.63
BEN,50.8
FCX,19.52
FTR,5.07
GME,43.39
GCI,36.21
GPS,37.82
GRMN,45.3
GD,139.62
GE,27.22
GGP,28.39
GIS,56.13
GM,36.09
GPC,90.01
GNW,7.71
GILD,113.85
GS,206.85
GT,32.37
GOOGL,547.43
GOOG,532.93
GWW,240.56
HAL,45.36
HBI,31.94
HOG,53.2
HAR,121
HRS,79.2
HIG,41.02
HAS,72.06
HCA,81.96
HCP,39
HCN,70.89
HP,72.47
HES,67.14
HPQ,33.66
HD,110.75
HON,103.97
HRL,57.01
HSP,88.52
HST,20.21
HCBK,9.43
HUM,214.66
HBAN,11.04
ITW,93.65
IR,68.84
TEG,71.58
INTC,33.64
ICE,234.47
IBM,169.66
IP,51.76
IPG,20.37
IFF,117.18
INTU,105.75
ISRG,500.54
IVZ,39.8
IRM,35.7
JEC,43.19
JNJ,99.92
JCI,52.35
JOY,38.78
JPM,65.83
JNPR,27.07
KSU,92.36
K,62.32
KEY,14.49
GMCR,86.06
KMB,109.08
KIM,24.21
KMI,41.33
KLAC,59.53
KSS,65.03
KRFT,84
KR,72.69
LB,86.37
LLL,117.53
LH,118.21
LRCX,82.93
LM,53.35
LEG,47.07
LEN,46.78
LVLT,55.29
LUK,24.54
LLY,78.76
LNC,56.94
LLTC,47.47
L,39.96
LO,71.95
LOW,69.86
LYB,101.36
MTB,119.71
MAC,83.69
M,66.77
MNK,129.18
MRO,27.2
MPC,103.4
