Symbol,OpeningPrice
ABT,48.97
ABBV,67.62
ACN,96.59
MMM,160.26
ACE,106.72
ACT,307.21
ADBE,80.09
ADT,36.59
AES,13.09
AET,116.54
AFL,62.52
AMG,225.1
A,40.74
GAS,48.69
APD,145.84
ARG,103.92
AKAM,75.52
AA,12.58
ALXN,161.03
ATI,33.34
ALLE,62.49
ADS,297.46
ALL,67.49
ALTR,51.68
MO,50.22
AMZN,433.85
AEE,39.36
AAL,43.22
AEP,54.5
AXP,80.12
AIG,60.73
AMT,95.31
AMP,126.52
ABC,112.4
AME,53.41
AMGN,157.96
APC,83.16
ADI,66.92
AON,101.96
APA,58.36
AIV,37.15
AAPL,130.28
AMAT,20.18
ADM,51.93
AIZ,66.4
T,35.21
ADSK,54.6
ADP,85.09
AN,63.92
AZO,679.82
AVGO,141.85
AVB,160.89
AVY,60.6
BHI,64.26
BLL,70.99
BAC,16.96
BK,43.17
BCR,170.24
BAX,65.7
BBT,40.06
BDX,140.2
BBBY,70.75
BBY,35.16
BIIB,386.44
BLK,362.5
HRB,31.65
BA,142.73
BWA,60.93
BXP,127.62
BSX,18.08
BMY,65.73
BRCM,54.58
CHRW,64.09
CA,30.08
CVC,23.96
COG,34.13
CAM,52.31
CPB,47.34
COF,83.89
CAH,87.87
HSIC,141.81
KMX,73.04
CCL,47.66
CAT,86.04
CBG,37.91
CBS,62.41
CELG,112.06
CNP,19.65
CTL,33.18
CERN,67.23
CF,321.75
SCHW,32.2
CHK,13.1
CVX,102.09
CMG,608.01
CB,97.03
CI,139.46
XEC,114.96
CINF,50.94
CTAS,86.14
CSCO,28.99
C,55.89
CTXS,66.49
CLX,107.52
CME,94.23
CMS,32.89
COH,35.95
KO,40.81
CCE,44.37
CTSH,65.25
CL,66.81
CMCSA,59.45
CMA,50.12
CSC,68.16
CAG,37.97
COP,63.43
CNX,27.52
ED,59.87
STZ,121
GLW,20.6
COST,142.1
CCI,84
CSX,34.15
CMI,134.99
CVS,101.79
DHI,26.53
DHR,86.52
DRI,65.18
DVA,83.57
DE,92.15
DLPH,87.58
DAL,43.49
XRAY,52.32
DVN,63.29
DO,30.05
DTV,92.5
DFS,58.43
DISCA,33.92
DISCK,31.42
DG,76.23
DLTR,79.48
D,68.4
DOV,74.52
DOW,52.6
DPS,75.89
DTE,76.85
DD,70.6
DUK,74.52
DNB,128.59
ETFC,30.3
EMN,78.07
ETN,72.17
EBAY,62.29
ECL,115.12
EIX,58.88
EW,131.12
EA,63.23
EMC,27.06
EMR,59.62
ENDP,86.11
ESV,24.01
ETR,74.23
EOG,88.68
EQT,84.65
EFX,98.56
EQIX,265.01
EQR,71.75
ESS,216.02
EL,87.62
ES,47.76
EXC,33.92
EXPE,106
EXPD,48.24
ESRX,86.53
XOM,84.71
FFIV,126.15
FB,82.9
FDO,78.81
FAST,42.38
FDX,179.76
FIS,62.22
FITB,20.47
FSLR,50.13
FE,34.82
FISV,80.91
FLIR,30.73
FLS,54.62
FLR,56.12
FMC,57.05
FTI,42.21
F,15.14
FOSL,72.01
BEN,50.85
FCX,19.57
FTR,5.34
GME,44.01
GCI,36.56
GPS,38.58
GRMN,45.74
GD,140.6
GE,27.57
GGP,27.46
GIS,55.49
GM,35.64
GPC,91.27
GNW,7.94
GILD,114.19
GS,209.85
GT,31.84
GOOGL,554.54
GOOG,539.22
GWW,240.56
HAL,45.32
HBI,32.16
HOG,54.68
HAR,123.5
HRS,78.36
HIG,41.54
HAS,72.72
HCA,80.77
HCP,38.22
HCN,69.83
HP,72.67
HES,66.28
HPQ,33.5
HD,112.81
HON,104.21
HRL,56.75
HSP,88.4
HST,20.04
HCBK,9.65
HUM,213.12
HBAN,11.26
ITW,94.1
IR,68.68
TEG,70.37
INTC,32.62
ICE,234.58
IBM,170.12
IP,51.1
IPG,20.45
IFF,113.94
INTU,106.56
ISRG,498.65
IVZ,39.54
IRM,34.18
JEC,43.48
JNJ,100.21
JCI,52.6
JOY,39.4
JPM,66.9
JNPR,27.34
KSU,93.73
K,62.24
KEY,14.84
GMCR,84.18
KMB,107.79
KIM,23.65
KMI,40.65
KLAC,58.22
KSS,65.36
KRFT,83.95
KR,72.61
LB,87.9
LLL,118.06
LH,117.86
LRCX,83
LM,54.6
LEG,47.6
LEN,47.18
LVLT,55.84
LUK,24.55
LLY,78.24
LNC,58.39
LLTC,46.64
L,40.53
LO,71.7
LOW,70.67
LYB,100.82
MTB,122.58
MAC,81.46
M,69.41
MNK,128.32
MRO,26.86
