Symbol,Open
ABT,48.59
ABBV,66.98
ACN,95.91
MMM,157.5
ACE,106.06
ACT,303.41
ADBE,78.64
ADT,36.41
AES,13.09
AET,115.58
AFL,62.22
AMG,224.4
A,40.54
GAS,48.03
APD,145.35
ARG,103.56
AKAM,74.87
AA,12.45
ALXN,159.48
ATI,32.7
ALLE,61.65
ADS,294.71
ALL,67.41
ALTR,51.45
MO,49.71
AMZN,429.66
AEE,38.74
AAL,42.13
AEP,53.77
AXP,79.74
AIG,61.15
AMT,94.26
AMP,126.58
ABC,111.21
AME,53.37
AMGN,158.5
APC,83.01
ADI,66.95
AON,101.14
APA,57.92
AIV,36.72
AAPL,129.5
AMAT,20.04
ADM,51.27
AIZ,65.93
T,35.16
ADSK,53.82
ADP,84.1
AN,63.73
AZO,679.32
AVGO,140.97
AVB,159.68
AVY,60.56
BHI,63.39
BLL,70.14
BAC,17.04
BK,43.75
BCR,170.35
BAX,65.5
BBT,40.11
BDX,139.45
BBBY,70.18
BBY,34.57
BIIB,382.88
BLK,358
HRB,31.42
BA,141.04
BWA,60.29
BXP,126.53
BSX,17.9
BMY,65.56
BRCM,53.95
CHRW,63.07
CA,29.47
CVC,23.44
COG,33.85
CAM,51.8
CPB,46.91
COF,83.89
CAH,87.09
HSIC,140.51
KMX,73.11
CCL,47.19
CAT,85.01
CBG,37.65
CBS,61.5
CELG,110.92
CNP,19.19
CTL,32.74
CERN,67.01
CF,317.02
SCHW,33.47
CHK,13.01
CVX,101.18
CMG,608.16
CB,97.03
CI,137.94
XEC,114.12
CINF,50.66
CTAS,85.17
CSCO,28.55
C,56.02
CTXS,65.96
CLX,106.23
CME,95
CMS,32.12
COH,35.73
KO,40.48
CCE,43.66
CTSH,64.23
CL,65.89
CMCSA,58.79
CMA,50.47
CSC,67.98
CAG,37.88
COP,62.76
CNX,27.25
ED,59.35
STZ,119.14
GLW,20.59
COST,140.74
CCI,83.29
CSX,34.04
CMI,136.15
CVS,100.62
DHI,26.05
DHR,85.62
DRI,64.21
DVA,82.38
DE,91.59
DLPH,87.29
DAL,42.83
XRAY,51.8
DVN,62.72
