Symbol,Open
ABT,48.77
ABBV,66.8
ACN,96.18
MMM,159.1
ACE,106.82
ACT,310
ADBE,79.5
ADT,36.64
AES,13.59
AET,118.06
AFL,62.5
AMG,224.33
A,41.43
GAS,50.41
APD,147.65
ARG,102.03
AKAM,76.38
AA,12.54
ALXN,165.3
ATI,32.53
ALLE,62.47
ADS,298.83
ALL,67.65
ALTR,51.89
MO,51.29
AMZN,430.4
AEE,40.25
AAL,42.61
AEP,56.07
AXP,79.94
AIG,58.91
AMT,92.7
AMP,124.65
ABC,112.81
AME,53.99
AMGN,157.59
APC,83.96
ADI,68.41
AON,101.47
APA,59.89
AIV,38
AAPL,131.2
AMAT,20.03
ADM,52.89
AIZ,66.02
T,34.53
ADSK,54.39
ADP,85.7
AN,62.16
AZO,676.98
AVGO,148.24
AVB,166.8
AVY,61.97
BHI,64.38
BLL,71.16
BAC,16.58
BK,43.49
BCR,170.68
BAX,66.79
BBT,39.56
BDX,141.4
BBBY,71.56
BRK.B,143.26
BBY,34.85
BIIB,398.87
BLK,366.08
HRB,31.77
BA,141.45
BWA,60.33
BXP,130.08
BSX,18.36
BMY,66.63
BRCM,56.53
BF.B,94.27
CHRW,62.04
CA,29.97
CVC,24.56
COG,33.91
CAM,51.27
CPB,48.33
COF,83.8
CAH,88.33
HSIC,142.42
KMX,71.44
CCL,46.49
CAT,86.06
CBG,38.36
CBS,61.96
CELG,115.01
CNP,20.4
CTL,33.24
CERN,67.67
CF,316.73
SCHW,31.73
CHK,14.11
CVX,103.47
CMG,615.01
CB,97.74
CI,140.87
XEC,115.4
CINF,50.72
CTAS,86.39
CSCO,29.6
C,54.68
CTXS,65.48
CLX,108.08
CME,94.48
CMS,34.12
COH,35.45
KO,41.36
CCE,44.27
CTSH,65.05
CL,66.71
CMCSA,58.71
CMA,49.06
CSC,68.77
CAG,38.85
COP,64.46
CNX,27.81
ED,61.87
STZ,118.79
GLW,20.98
COST,143.05
CCI,81.6
CSX,34.23
CMI,136.14
CVS,102.9
DHI,26.28
DHR,86.5
DRI,65.54
DVA,83.94
DE,93.82
DLPH,87.29
DAL,43.21
XRAY,52.29
DVN,65.39
DO,30.28
DTV,91.49
DFS,58.34
DISCA,34.07
DISCK,31.5
DG,72.74
DLTR,74.65
D,70.6
DOV,75.87
DOW,52.07
DPS,76.73
DTE,79.33
DD,71.38
DUK,76.26
DNB,128.55
ETFC,30.02
EMN,77.43
ETN,71.79
EBAY,61.55
ECL,114.99
EIX,60.91
EW,130.78
EA,63.06
EMC,26.52
EMR,60.64
ENDP,83.98
ESV,23.44
ETR,76.54
EOG,89.02
EQT,85.03
EFX,100.35
EQIX,274.13
EQR,74.64
ESS,223.17
EL,88.01
ES,49.26
EXC,34.01
EXPE,107.42
EXPD,45.95
ESRX,86.15
XOM,85.25
FFIV,124.4
FB,79.3
FDO,77.81
FAST,42.23
FDX,173.87
FIS,62.75
FITB,20.24
FSLR,49.76
FE,35.81
FISV,80.6
FLIR,30.67
FLS,55.05
FLR,56.35
FMC,57.3
FTI,41.66
F,15.33
FOSL,71.19
BEN,51.11
FCX,19.75
FTR,5.19
GME,43.74
GCI,35.91
GPS,38.32
